eventID,eventRemarks,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
UWPHHCZoop_CB1009-20131003DBD,stationVisit,UWPHHCZoop_CB1009,2013-10-03T14:11:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,65.0,
UWPHHCZoop_CB1009-20131003DBN,stationVisit,UWPHHCZoop_CB1009,2013-10-03T20:16:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,63.0,
20120611UNDm1_200,sample,UWPHHCZoop_CB975-20120611UND,2012-06-11T14:10:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,16.0,72.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m1, 200 micron mesh (qualifier: )"
20120611UNDm1_335,sample,UWPHHCZoop_CB975-20120611UND,2012-06-11T15:50:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,16.0,40.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m1, 335 micron mesh (qualifier: )"
20120611UNDm2_335,sample,UWPHHCZoop_CB975-20120611UND,2012-06-11T15:50:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,8.0,16.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m2, 335 micron mesh (qualifier: )"
20120611UNDm3_335,sample,UWPHHCZoop_CB975-20120611UND,2012-06-11T15:50:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,8.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m3, 335 micron mesh (qualifier: )"
20120611UNDm2_200,sample,UWPHHCZoop_CB975-20120611UND,2012-06-11T16:53:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,8.0,16.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m2, 200 micron mesh (qualifier: )"
20120611UNDm4_200,sample,UWPHHCZoop_CB975-20120611UND,2012-06-11T16:53:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,72.0,"full water column net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m4, 200 micron mesh (qualifier: )"
20120611UNNm1_335,sample,UWPHHCZoop_CB975-20120611UNN,2012-06-11T22:45:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,16.0,40.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m1, 335 micron mesh (qualifier: )"
20120611UNNm2_335,sample,UWPHHCZoop_CB975-20120611UNN,2012-06-11T22:45:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,8.0,16.0,"depth stratified net tow using 0.25 m2 HydroBios MultiNet Multiple Plankton Sampler, net code m2, 335 micron mesh (qualifier: )"
