occurrenceID,life_history_stage
61be4fe3-79aa-4b64-8434-c3fbfc14eed1,Z2;_Zoea_II
906c1443-85f4-4052-82de-d9bc38b58361,Z4;_Zoea_IV
5d237701-c1f7-4f66-9559-0136dcef4d02,Unknown
7795fe0b-6360-43db-bd94-b5ca95753b02,Megalopa
542a228e-f0cc-4217-9301-e159e300da63,F1;_Furcilia_1
bb6faa59-46f7-4564-bdbe-94328996d0b7,F2;_Furcilia_2
aa77a63f-fb63-41a2-a76f-bad1ed7d6113,Medusa
b76ff5c8-b301-4440-b73c-26844fde52f8,Z1;_Zoea_I
4e88591d-3caa-4544-96eb-ef4f321dee89,Z2;_Zoea_II
d3025719-10ef-45d0-a57b-9b9e53222724,Z3;_Zoea_III
c0995ef9-5618-413e-9610-c8aa539e0dbf,Z1;_Zoea_I
52b5e13b-09f0-4c98-802c-8837c1458811,Z3;_Zoea_III
0e97af67-32d0-4c2b-86c7-4128026041c6,Unknown
5d655f93-9266-4f05-adef-5337f5ab284e,Unknown
a30a59c9-88e3-4f28-9ed1-cbd8ac02b860,Larva
dae5344e-affe-4a10-82ca-4cf6f3e762e7,F1;_Furcilia_1
286322c5-91e3-49f7-a4b5-9274798ea5ed,F2;_Furcilia_2
b2651ae9-c241-4ada-b6e5-c46237f6ce56,F3;_Furcilia_3
